------------ CONSULTA 3 ------------

('Azerbaiyán', 27.9615380685243, 2005)
('Chad', 17.3325337350837, 2005)
('Guinea Ecuatorial', 16.7487006053541, 2005)
('Angola', 15.0289153175302, 2005)
('Armenia', 13.8999999991133, 2005)
('Myanmar', 13.5669420088724, 2005)
('Granada', 13.2761883306272, 2005)
('Camboya', 13.2500869136436, 2005)
('Turkmenistán', 13.034034870022, 2005)
('Libia', 11.870728929385, 2005)
('Etiopía', 11.8187659466494, 2005)
('China', 11.3945918097286, 2005)
('Ribera Occidental y Gaza', 11.2906511829271, 2005)
('Afganistán', 11.2297148236429, 2005)
('Cuba', 11.2016564219094, 2005)
('Letonia', 10.7152282938009, 2005)
('Kuwait', 10.6090449840228, 2005)
('Venezuela', 10.3179138043148, 2005)
