------------ CONSULTA 8 ------------

('Arabia Saudita', 58.6473306497986, 1970)
('Kiribati', 45.3027536241438, 1974)
('Gabón', 39.4870951788448, 1974)
('Nueva Caledonia', 30.9992897364597, 1970)
('Somalia', 30.0736985848187, 1975)
('Argelia', 27.423969480239, 1972)
('Lesotho', 26.4048810640381, 1973)
('Botswana', 26.3619409474338, 1972)
('San Vicente y las Granadinas', 25.8314889421939, 1972)
('Botswana', 25.8211072190911, 1971)
('República Árabe Siria', 25.7957728545964, 1974)
('Omán', 25.6661688224544, 1969)
('República Árabe Siria', 25.6607151992633, 1972)
('Nigeria', 25.0072419254018, 1970)
('Omán', 24.4335027373295, 1975)
('Nigeria', 24.1973839489738, 1969)
('Arabia Saudita', 24.1705285374227, 1973)
('Arabia Saudita', 22.9306402490183, 1972)
('Zimbabwe', 22.5651508391864, 1970)
('Kenya', 22.1738919280089, 1971)
('Burundi', 21.3256707328197, 1970)
('Botswana', 21.3031840927795, 1973)
('Kiribati', 20.9098829168988, 1973)
('Arabia Saudita', 20.5122167474631, 1971)
('Malta', 19.5600808646514, 1975)
('China', 19.299999996256, 1970)
('Gabón', 19.1901149100017, 1975)
('República Árabe Siria', 18.7679152118321, 1969)
('República Dominicana', 18.2266828775203, 1970)
('mezcla de la AIF', 18.0974364131104, 1970)
('Jamaica', 18.0085552919374, 1972)
('Polinesia Francesa', 18.0010489048829, 1974)
('Túnez', 17.7427182677838, 1972)
('Botswana', 17.1202676706414, 1970)
('Kenya', 17.0824293450068, 1972)
('China', 16.9399999961093, 1969)
('República Árabe Siria', 16.3515760555234, 1975)
('Irán, República Islámica del', 16.2978090512615, 1969)
('Arabia Saudita', 16.2280652717263, 1974)
('Malawi', 16.2185636326566, 1971)
('Iraq', 16.1133673454638, 1974)
('mezcla de la AIF', 16.004090137737, 1969)
('Seychelles', 15.8517757425109, 1971)
('Nueva Caledonia', 15.7163133836032, 1969)
('Sudán', 15.7134664496094, 1975)
('Botswana', 15.1234047073397, 1969)
